Date,Open,High,Low,Close,Volume,feature1,feature2,feature3,feature4,feature5
2015-01-02,26.503287439452063,26.662527868700302,26.268410321522673,26.35151481628418,26480000,0.03513030707836151,0.04333778843283653,0.07190804928541183,0.2649349272251129,0.5846889019012451
2015-01-05,26.232085798376406,26.273885771708642,25.764322836130155,25.849414825439453,41182000,0.009732341393828392,0.010922754183411598,0.03575123846530914,0.2549060583114624,0.6886875629425049
2015-01-06,25.90116728970276,25.936497948150002,25.157224580764094,25.21146583557129,54456000,0.02793833240866661,0.024906989187002182,0.062337517738342285,0.2682053744792938,0.6166117787361145
2015-01-07,25.425942528444878,25.452812586136073,25.062679470156286,25.13732147216797,46918000,0.208579421043396,0.09835243225097656,0.08405030518770218,0.22933156788349152,0.37968623638153076
2015-01-08,24.956185466108163,25.25425988998477,24.633228479386553,25.22490119934082,73054000,0.046814270317554474,0.06283639371395111,0.09586086124181747,0.2833739221096039,0.5111145377159119
2015-01-09,25.288098294715493,25.308998280574947,24.813866036099117,24.916872024536133,42000000,0.010802625678479671,0.013471637852489948,0.04830971360206604,0.29380056262016296,0.6336154341697693
2015-01-12,24.843227553129108,24.894980176137008,24.42870922148024,24.7347469329834,57138000,0.02854437753558159,0.027736499905586243,0.06914516538381577,0.31180328130722046,0.5627707242965698
2015-01-13,25.00893393714728,25.308999663328926,24.74469811602012,24.970617294311523,60958000,0.07122687250375748,0.04560231789946556,0.0587819367647171,0.2245282232761383,0.599860668182373
2015-01-14,24.901943752839887,25.292078716529858,24.789482467672684,25.176132202148438,52800000,0.008584130555391312,0.00968846958130598,0.03253834322094917,0.23505331575870514,0.7141357064247131
2015-01-15,25.323429682085397,25.36622435009624,24.98106664317948,25.080591201782227,51068000,0.023403624072670937,0.022620219737291336,0.06597651541233063,0.2905119061470032,0.59748774766922
2015-01-16,25.037793756599353,25.420962059892116,25.034807773170588,25.40155601501465,49658000,0.09408150613307953,0.058366190642118454,0.08305039256811142,0.18871520459651947,0.5757867097854614
2015-01-20,25.5165061965885,25.65783072459475,25.347315020660428,25.37567901611328,46796000,0.07122687250375748,0.04560231789946556,0.0587819367647171,0.2245282232761383,0.599860668182373
2015-01-21,25.42046586220361,25.96834733847556,25.35826324973092,25.895694732666016,46356000,0.03086789697408676,0.024918988347053528,0.06529679149389267,0.28102704882621765,0.597889244556427
2015-01-22,26.02557312241996,26.8138044588719,25.97133376461755,26.737171173095703,56068000,0.05540022253990173,0.03983944654464722,0.0696796178817749,0.23878473043441772,0.5962960124015808
2015-01-23,26.77349654790352,27.140740236112272,26.660038669867784,26.968563079833984,45966000,0.20076368749141693,0.1661226451396942,0.1486494392156601,0.19021886587142944,0.2942453920841217
2015-01-26,26.94617420514463,26.94617420514463,26.476917271810308,26.708311080932617,30932000,0.05540022253990173,0.03983944654464722,0.0696796178817749,0.23878473043441772,0.5962960124015808
2015-01-27,26.443573891037325,26.512245817096385,25.919081045777528,25.935503005981445,39148000,0.03937256336212158,0.030092693865299225,0.07088283449411392,0.25998038053512573,0.599671483039856
2015-01-28,26.125097474176556,26.159433438060667,25.495607333998667,25.499588012695312,35822000,0.13091988861560822,0.10687313228845596,0.11126454919576645,0.2207135111093521,0.43022894859313965
2015-01-29,25.52297623300577,25.636931463844675,25.054216680385302,25.539398193359375,79018000,0.08557845652103424,0.05136130377650261,0.07145218551158905,0.17430974543094635,0.6172983050346375
2015-01-30,25.826526239009823,27.025792567820293,25.785720959525282,26.74961280822754,121108000,0.02252071723341942,0.02284177578985691,0.055660735815763474,0.2812381386756897,0.617738664150238
2015-02-02,26.588879715290837,26.697362226380704,25.96187821225495,26.48338508605957,75378000,0.26661524176597595,0.08874057978391647,0.07542029768228531,0.1462930589914322,0.4229308068752289
